timeout,files,order,time_portion,test_par10_optimal,test_fraction_optimal,test_par10_solvitaire_no_streamliner,test_fraction_solvitaire_no_streamliner,test_par10_model,test_fraction_model,test_par10_relaxed,test_fraction_relaxed,test_par10_strict,test_fraction_strict,test_par10_relaxed-solvitaire_no_streamliner,test_fraction_relaxed-solvitaire_no_streamliner,test_par10_strict-solvitaire_no_streamliner,test_fraction_strict-solvitaire_no_streamliner,test_par10_relaxed-model-solvitaire_no_streamliner,test_fraction_relaxed-model-solvitaire_no_streamliner,test_par10_strict-model-solvitaire_no_streamliner,test_fraction_strict-model-solvitaire_no_streamliner,test_par10_smart_solvitaire,test_fraction_smart_solvitaire
1,1_1_3_4_8,1_5_2_3_4,0_10_0_0_0,1.791,82.57%,1.792,82.56%,10,0.00%,9.483,5.56%,10,0.00%,9.483,5.56%,10,0.00%,9.483,5.56%,10,0.00%,1.737,83.23%
2,1_1_3_4_8,1_4_2_5_3,0_13_0_7_0,2.751,86.98%,2.988,85.51%,20,0.00%,18.511,7.80%,19.585,2.26%,4.701,81.82%,19.585,2.26%,18.511,7.80%,19.585,2.26%,2.805,86.51%
3,1_1_3_4_8,3_5_1_4_2,9_14_0_7_0,3.32,90.91%,3.996,87.11%,30,0.00%,27.441,8.86%,28.634,4.89%,5.281,86.31%,28.634,4.89%,27.441,8.86%,28.634,4.89%,3.678,88.24%
4,1_1_3_4_8,3_5_2_4_1,12_16_0_12_0,3.86,92.38%,4.916,88.12%,40,0.00%,36.355,9.40%,37.893,5.58%,5.809,88.61%,37.893,5.58%,36.355,9.40%,37.893,5.58%,4.435,89.39%
5,1_1_3_4_8,1_3_4_2_5,12_27_1_9_1,5.009,90.47%,5.699,89.01%,50,0.00%,45.37,9.50%,47.214,5.84%,6.472,89.66%,47.194,5.89%,45.37,9.50%,47.214,5.84%,5.141,90.17%
6,1_1_3_4_8,3_5_2_4_1,12_39_0_9_0,4.654,93.42%,6.447,89.66%,60,0.00%,54.372,9.59%,56.46,6.16%,6.979,90.62%,56.308,6.43%,54.372,9.59%,56.46,6.16%,5.784,90.79%
7,1_1_3_4_8,3_5_2_4_1,12_49_0_9_0,5.074,93.90%,7.177,90.13%,70,0.00%,63.243,9.85%,65.633,6.49%,7.416,91.41%,65.15,7.24%,63.236,9.87%,65.633,6.49%,6.371,91.32%
8,1_1_3_4_8,3_5_2_4_1,5_6_0_69_0,6.237,93.23%,7.874,90.53%,80,0.00%,72.121,10.04%,74.807,6.73%,7.775,92.10%,73.099,9.08%,72.056,10.13%,74.807,6.73%,6.964,91.70%
9,1_1_3_4_8,1_3_4_2_5,21_55_1_12_1,6.966,92.70%,8.612,90.79%,90,0.00%,81.017,10.17%,83.925,6.99%,8.185,92.57%,80.507,11.14%,80.889,10.32%,83.925,6.99%,7.54,92.01%
10,1_1_3_4_8,3_5_2_4_1,12_16_0_72_0,7.022,94.06%,9.292,91.06%,100,0.00%,89.92,10.25%,93.106,7.12%,8.606,92.92%,87.544,13.19%,89.676,10.52%,93.106,7.12%,8.057,92.32%
12,1_1_3_4_8,3_5_2_4_1,4_6_0_110_0,8.027,94.13%,10.451,91.63%,120,0.00%,107.712,10.40%,111.391,7.39%,9.381,93.51%,100.574,17.15%,107.305,10.77%,111.391,7.39%,8.923,92.94%
16,1_1_3_4_8,3_5_2_4_1,21_29_0_110_0,8.871,95.12%,12.498,92.52%,159.984,0.01%,143.405,10.50%,147.448,8.07%,10.628,94.43%,128.168,20.96%,142.496,11.11%,147.448,8.07%,10.705,93.65%
20,1_1_3_4_8,3_5_2_4_1,22_68_0_110_0,9.877,95.68%,14.477,93.08%,199.194,0.44%,179.206,10.50%,182.987,8.74%,11.943,94.93%,139.965,31.85%,176.437,12.00%,182.987,8.74%,12.169,94.24%
24,1_1_3_4_8,3_5_1_4_2,21_99_0_120_0,10.734,96.07%,16.374,93.48%,234.471,2.53%,214.982,10.51%,218.085,9.39%,13.219,95.28%,144.375,42.35%,207.598,13.85%,217.989,9.43%,13.548,94.67%
28,1_1_3_4_8,3_5_2_4_1,21_39_0_220_0,12.667,95.98%,18.135,93.81%,259.728,7.94%,250.778,10.51%,253.396,9.75%,14.374,95.57%,143.812,51.64%,229.598,18.77%,252.748,10.01%,14.831,95.00%
30,1_1_3_4_8,3_5_1_4_2,21_99_0_180_0,12.595,96.32%,18.861,94.00%,268.927,11.34%,268.676,10.51%,270.813,9.99%,14.99,95.67%,142.738,55.61%,235.971,22.41%,269.873,10.33%,15.468,95.13%
50,1_1_3_4_8,3_5_2_4_1,21_59_0_420_0,17.087,96.94%,25.137,95.25%,243.193,55.43%,447.656,10.51%,444.822,11.29%,19.055,96.67%,123.676,78.96%,177.399,68.85%,383.717,24.64%,20.66,96.12%
70,1_1_3_4_8,2_5_1_3_4,39_41_0_120_500,20.319,98.17%,29.517,96.05%,216.505,73.47%,626.636,10.51%,618.611,11.85%,22.232,97.21%,100.027,89.21%,109.472,89.14%,353.092,52.97%,23.278,96.92%
90,1_1_3_4_8,2_5_1_3_4,130_140_0_130_500,20.719,98.39%,34.331,96.42%,228.109,78.51%,805.617,10.51%,791.985,12.21%,25.073,97.55%,93.407,92.65%,81.522,95.18%,278.708,73.49%,26.601,97.27%
110,1_1_3_4_8,2_5_1_3_4,180_220_0_120_580,20.716,98.70%,38.263,96.75%,257.945,79.82%,984.597,10.51%,966.565,12.31%,27.983,97.75%,88.413,94.61%,73.693,96.92%,219.36,84.71%,30.17,97.46%
130,1_1_3_4_8,2_5_1_3_4,180_190_0_130_800,21.225,98.86%,41.228,97.05%,290.681,80.47%,1163.577,10.51%,1140.763,12.41%,30.92,97.88%,87.644,95.59%,68.556,97.88%,181.455,90.51%,32.362,97.70%
150,1_1_3_4_8,2_5_1_3_4,180_190_0_130_1000,22.3,98.97%,44.116,97.27%,327.168,80.66%,1342.557,10.51%,1314.585,12.51%,32.745,98.06%,86.339,96.33%,67.957,98.23%,157.04,93.70%,33.622,97.95%
170,1_1_3_4_8,2_5_1_3_4,110_121_0_69_1400,23.382,99.00%,47.531,97.40%,364.48,80.75%,1521.537,10.51%,1488.366,12.59%,35.264,98.15%,87.163,96.76%,67.374,98.50%,143.447,95.40%,34.115,98.18%
180,1_1_3_4_8,2_5_1_3_4,130_160_0_110_1400,23.91,99.08%,48.506,97.50%,383.553,80.76%,1611.027,10.51%,1575.418,12.61%,35.675,98.23%,88.241,96.89%,67.431,98.59%,140.646,95.86%,34.301,98.28%
360,1_1_3_4_8,2_5_1_3_4,180_710_0_110_2600,27.675,99.40%,60.525,98.49%,726.541,80.86%,3221.848,10.51%,3134.653,13.02%,46.337,98.87%,93.121,98.41%,71.887,99.21%,115.487,98.82%,44.351,98.91%
540,1_1_3_4_8,2_5_1_3_4,180_210_0_110_4900,35.052,99.48%,71.716,98.81%,1071.103,80.86%,4832.669,10.51%,4691.408,13.20%,54.045,99.12%,93.524,98.98%,73.912,99.46%,114.009,99.28%,46.835,99.25%
720,1_1_3_4_8,1_4_5_2_3,180_4700_10_110_2200,44.858,99.46%,81.414,98.99%,1415.665,80.86%,6443.49,10.51%,6250.17,13.25%,62.511,99.23%,102.408,99.12%,79.326,99.52%,118.205,99.41%,52.238,99.38%
900,1_1_3_4_8,2_5_1_3_4,180_5730_0_590_2500,27.002,99.80%,82.328,99.20%,1760.226,80.86%,8054.311,10.51%,7805.213,13.33%,61.746,99.41%,100.007,99.35%,80.632,99.61%,116.052,99.57%,57.094,99.45%
1080,1_1_3_4_8,2_5_1_3_4,180_310_0_110_10200,41.163,99.71%,81.444,99.36%,2104.788,80.86%,9665.132,10.51%,9363.077,13.35%,60.336,99.53%,96.556,99.50%,81.102,99.68%,117.341,99.63%,62.581,99.50%
1260,1_1_3_4_8,1_4_5_2_3,180_8500_10_110_3800,55.772,99.61%,84.158,99.43%,2449.35,80.86%,11275.953,10.51%,10921.43,13.37%,62.386,99.59%,97.927,99.57%,80.553,99.73%,115.031,99.71%,65.24,99.55%
1440,1_1_3_4_8,2_5_1_3_4,180_190_0_130_13900,37.802,99.80%,82.763,99.52%,2793.912,80.86%,12886.774,10.51%,12479.41,13.38%,62.546,99.64%,95.594,99.64%,76.662,99.80%,112.969,99.77%,64.52,99.62%
1620,1_1_3_4_8,2_5_1_3_4,180_220_0_14000_1800,41.402,99.80%,88.087,99.54%,3138.473,80.86%,14497.595,10.51%,14038.637,13.38%,67.307,99.66%,100.355,99.66%,80.262,99.80%,112.25,99.80%,64.809,99.67%
1800,1_1_3_4_8,2_5_1_3_4,180_220_0_200_17400,43.199,99.81%,90.866,99.58%,3483.035,80.86%,16108.416,10.51%,15597.863,13.38%,68.087,99.69%,101.145,99.69%,82.058,99.81%,114.049,99.81%,65.385,99.70%
1980,1_1_3_4_8,2_5_1_3_4,180_210_0_110_19300,46.599,99.81%,96.478,99.59%,3827.597,80.86%,17719.237,10.51%,17157.09,13.38%,71.698,99.70%,104.759,99.70%,85.458,99.81%,117.448,99.81%,64.822,99.73%
2160,1_1_3_4_8,2_5_1_3_4,180_12600_0_120_8700,47.843,99.82%,101.706,99.60%,4172.158,80.86%,19330.058,10.51%,18716.317,13.38%,77.098,99.70%,110.158,99.70%,88.857,99.81%,120.848,99.81%,69.643,99.73%
2340,1_1_3_4_8,2_5_1_3_4,180_210_0_110_22900,51.043,99.82%,104.194,99.62%,4516.72,80.86%,20940.879,10.51%,20275.544,13.38%,77.787,99.72%,110.852,99.72%,89.901,99.82%,121.895,99.82%,74.465,99.73%
2520,1_1_3_4_8,2_5_1_3_4,180_17170_0_250_7600,54.243,99.82%,108.472,99.63%,4861.282,80.86%,22551.7,10.51%,21834.77,13.38%,80.264,99.73%,115.852,99.72%,93.101,99.82%,125.095,99.82%,79.286,99.73%
2700,1_1_3_4_8,2_5_1_3_4,180_2020_0_22900_1900,57.443,99.82%,115.071,99.63%,5205.844,80.86%,24162.521,10.51%,23393.997,13.38%,85.064,99.73%,118.136,99.73%,96.3,99.82%,128.294,99.82%,81.383,99.74%
2880,1_1_3_4_8,2_5_1_3_4,180_640_0_180_27800,60.643,99.82%,121.67,99.63%,5550.405,80.86%,25773.342,10.51%,24953.224,13.38%,89.863,99.73%,122.936,99.73%,99.5,99.82%,131.494,99.82%,83.101,99.75%
3060,1_1_3_4_8,2_5_1_3_4,180_190_0_130_30100,63.843,99.82%,128.269,99.63%,5894.967,80.86%,27384.163,10.51%,26512.451,13.38%,94.663,99.73%,127.735,99.73%,102.7,99.82%,134.694,99.82%,87.521,99.75%
3240,1_1_3_4_8,2_5_1_3_4,180_610_0_110_31500,67.043,99.82%,134.869,99.63%,6239.529,80.86%,28994.984,10.51%,28071.677,13.38%,99.462,99.73%,132.535,99.73%,105.899,99.82%,137.893,99.82%,91.941,99.75%
3420,1_1_3_4_8,2_5_1_3_4,180_220_0_32400_1400,70.239,99.82%,138.035,99.64%,6584.09,80.86%,30605.805,10.51%,29630.904,13.38%,104.262,99.73%,137.334,99.73%,109.099,99.82%,141.093,99.82%,96.36,99.75%
3600,1_1_3_4_8,2_5_1_3_4,180_220_0_34200_1400,73.439,99.82%,140.827,99.66%,6928.652,80.86%,32216.626,10.51%,31190.131,13.38%,109.061,99.73%,142.134,99.73%,112.299,99.82%,144.293,99.82%,100.78,99.75%
