timeout,files,order,time_portion,test_par10_optimal,test_fraction_optimal,test_par10_solvitaire_no_streamliner,test_fraction_solvitaire_no_streamliner,test_par10_model,test_fraction_model,test_par10_relaxed,test_fraction_relaxed,test_par10_strict,test_fraction_strict,test_par10_relaxed-solvitaire_no_streamliner,test_fraction_relaxed-solvitaire_no_streamliner,test_par10_strict-solvitaire_no_streamliner,test_fraction_strict-solvitaire_no_streamliner,test_par10_relaxed-model,test_fraction_relaxed-model,test_par10_strict-model,test_fraction_strict-model,test_par10_smart_solvitaire,test_fraction_smart_solvitaire
1,1_3_4_7,4_1_2_3,10_0_0_0,1.586,84.578%,1.792,82.557%,10.000,0.000%,9.483,5.555%,10.000,0.000%,9.483,5.555%,10.000,0.000%,9.483,5.555%,10.000,0.000%,1.737,83.225%
10,1_3_4_7,2_4_3_1,83_1_16_0,6.477,94.011%,9.292,91.057%,95.337,4.977%,89.920,10.254%,93.106,7.121%,8.606,92.923%,87.544,13.187%,89.062,11.188%,93.106,7.121%,8.057,92.321%
1080,1_3_4_7,1_4_2_3,110_8880_210_1600,45.297,99.622%,81.444,99.356%,42.527,100.000%,9665.132,10.510%,9363.077,13.354%,60.336,99.533%,96.556,99.500%,42.005,100.000%,76.642,99.978%,62.581,99.498%
110,1_3_4_7,2_1_3_4,83_0_1000_17,17.248,99.022%,38.263,96.745%,57.259,98.456%,984.597,10.510%,966.565,12.310%,27.983,97.745%,88.413,94.612%,57.706,98.356%,203.308,86.213%,30.170,97.455%
12,1_3_4_7,3_2_4_1,110_0_10_0,7.283,94.444%,10.451,91.634%,113.893,5.388%,107.712,10.399%,111.391,7.388%,9.381,93.512%,100.574,17.154%,106.497,11.488%,111.391,7.388%,8.923,92.935%
1260,1_3_4_7,2_1_3_4,110_0_580_11910,5.479,100.000%,84.158,99.433%,42.527,100.000%,11275.953,10.510%,10921.430,13.365%,62.386,99.589%,97.927,99.567%,42.005,100.000%,75.768,99.989%,65.240,99.554%
130,1_3_4_7,2_1_3_4,80_0_1200_20,14.832,99.289%,41.228,97.045%,51.023,99.245%,1163.577,10.510%,1140.763,12.410%,30.920,97.878%,87.644,95.589%,50.881,99.211%,163.974,91.879%,32.362,97.701%
1440,1_3_4_7,2_1_3_4,110_0_10800_3490,5.479,100.000%,82.763,99.522%,42.527,100.000%,12886.774,10.510%,12479.410,13.376%,62.546,99.644%,95.594,99.644%,42.005,100.000%,74.521,100.000%,64.520,99.621%
150,1_3_4_7,2_1_3_4,110_0_110_1280,6.428,99.911%,44.116,97.267%,48.599,99.533%,1342.557,10.510%,1314.585,12.510%,32.745,98.056%,86.339,96.334%,48.370,99.511%,138.180,94.967%,33.622,97.946%
16,1_3_4_7,3_2_4_1,110_0_50_0,9.459,94.444%,12.498,92.523%,148.164,7.844%,143.405,10.499%,147.448,8.066%,10.628,94.434%,128.168,20.964%,140.853,12.210%,147.432,8.077%,10.705,93.650%
1620,1_3_4_7,2_1_3_4,110_0_2600_13490,5.479,100.000%,88.087,99.544%,42.527,100.000%,14497.595,10.510%,14038.637,13.376%,67.307,99.656%,100.355,99.656%,42.005,100.000%,74.521,100.000%,64.809,99.665%
170,1_3_4_7,2_1_3_4,110_0_1500_90,10.564,99.722%,47.531,97.400%,46.450,99.733%,1521.537,10.510%,1488.366,12.587%,35.264,98.145%,87.163,96.756%,45.924,99.733%,122.912,96.611%,34.115,98.181%
180,1_3_4_7,2_1_3_4,110_0_120_1570,6.527,99.922%,48.506,97.500%,46.355,99.756%,1611.027,10.510%,1575.418,12.610%,35.675,98.234%,88.241,96.889%,45.830,99.756%,119.260,97.045%,34.301,98.281%
1800,1_3_4_7,1_4_2_3,110_10_180_17700,5.479,100.000%,90.866,99.578%,42.527,100.000%,16108.416,10.510%,15597.863,13.376%,68.087,99.689%,101.145,99.689%,42.005,100.000%,74.521,100.000%,65.385,99.699%
1980,1_3_4_7,2_1_3_4,110_0_290_19400,5.479,100.000%,96.478,99.589%,42.527,100.000%,17719.237,10.510%,17157.090,13.376%,71.698,99.700%,104.759,99.700%,42.005,100.000%,74.521,100.000%,64.822,99.732%
2,1_3_4_7,3_1_4_2,13_0_7_0,2.364,88.844%,2.988,85.513%,20.000,0.000%,18.511,7.799%,19.585,2.255%,4.701,81.824%,19.585,2.255%,18.511,7.799%,19.585,2.255%,2.805,86.507%
20,1_3_4_7,3_2_4_1,170_0_30_0,11.163,94.811%,14.477,93.079%,179.927,10.643%,179.206,10.499%,182.987,8.743%,11.943,94.934%,139.965,31.852%,172.955,13.865%,182.886,8.799%,12.169,94.241%
2160,1_3_4_7,2_1_3_4,110_0_4200_17290,5.479,100.000%,101.706,99.600%,42.527,100.000%,19330.058,10.510%,18716.317,13.376%,77.098,99.700%,110.158,99.700%,42.005,100.000%,74.521,100.000%,69.643,99.732%
2340,1_3_4_7,2_1_3_4,110_0_110_23180,5.479,100.000%,104.194,99.622%,42.527,100.000%,20940.879,10.510%,20275.544,13.376%,77.787,99.722%,110.852,99.722%,42.005,100.000%,74.521,100.000%,74.465,99.732%
24,1_3_4_7,2_1_3_4,110_0_120_10,13.565,95.133%,16.374,93.479%,207.443,14.421%,214.982,10.510%,218.085,9.388%,13.219,95.278%,144.375,42.351%,202.692,16.032%,217.647,9.588%,13.548,94.665%
2520,1_3_4_7,2_1_3_4,110_0_110_24980,5.479,100.000%,108.472,99.633%,42.527,100.000%,22551.700,10.510%,21834.770,13.376%,80.264,99.733%,115.852,99.722%,42.005,100.000%,74.521,100.000%,79.286,99.732%
2700,1_3_4_7,2_1_3_4,110_0_120_26770,5.479,100.000%,115.071,99.633%,42.527,100.000%,24162.521,10.510%,23393.997,13.376%,85.064,99.733%,118.136,99.733%,42.005,100.000%,74.521,100.000%,81.383,99.743%
28,1_3_4_7,2_1_3_4,110_0_160_10,15.360,95.311%,18.135,93.812%,223.993,21.387%,250.778,10.510%,253.396,9.754%,14.374,95.567%,143.812,51.639%,223.369,21.120%,251.780,10.388%,14.831,95.000%
2880,1_3_4_7,2_1_3_4,110_0_110_28580,5.479,100.000%,121.670,99.633%,42.527,100.000%,25773.342,10.510%,24953.224,13.376%,89.863,99.733%,122.936,99.733%,42.005,100.000%,74.521,100.000%,83.101,99.754%
3,1_3_4_7,3_1_4_2,21_0_9_0,3.084,90.300%,3.996,87.113%,30.000,0.000%,27.441,8.855%,28.634,4.888%,5.281,86.313%,28.634,4.888%,27.441,8.855%,28.634,4.888%,3.678,88.237%
30,1_3_4_7,2_1_3_4,110_0_180_10,16.231,95.433%,18.861,94.001%,228.757,25.431%,268.676,10.510%,270.813,9.988%,14.990,95.667%,142.738,55.605%,229.090,24.831%,268.559,10.810%,15.468,95.134%
3060,1_3_4_7,2_1_3_4,110_0_110_30380,5.479,100.000%,128.269,99.633%,42.527,100.000%,27384.163,10.510%,26512.451,13.376%,94.663,99.733%,127.735,99.733%,42.005,100.000%,74.521,100.000%,87.521,99.754%
3240,1_3_4_7,2_1_3_4,110_0_260_32030,5.479,100.000%,134.869,99.633%,42.527,100.000%,28994.984,10.510%,28071.677,13.376%,99.462,99.733%,132.535,99.733%,42.005,100.000%,74.521,100.000%,91.941,99.754%
3420,1_3_4_7,2_1_3_4,110_0_110_33980,5.479,100.000%,138.035,99.644%,42.527,100.000%,30605.805,10.510%,29630.904,13.376%,104.262,99.733%,137.334,99.733%,42.005,100.000%,74.521,100.000%,96.360,99.754%
360,1_3_4_7,2_1_3_4,110_0_2000_1490,5.808,99.989%,60.525,98.489%,42.878,99.989%,3221.848,10.510%,3134.653,13.021%,46.337,98.867%,93.121,98.411%,42.356,99.989%,87.938,99.556%,44.351,98.906%
3600,1_3_4_7,2_1_3_4,110_0_190_35700,5.479,100.000%,140.827,99.656%,42.527,100.000%,32216.626,10.510%,31190.131,13.376%,109.061,99.733%,142.134,99.733%,42.005,100.000%,74.521,100.000%,100.780,99.754%
4,1_3_4_7,2_1_3_4,30_0_9_1,3.722,91.211%,4.916,88.124%,40.000,0.000%,36.355,9.399%,37.893,5.577%,5.809,88.612%,37.893,5.577%,36.355,9.399%,37.893,5.577%,4.435,89.386%
5,1_3_4_7,3_2_4_1,40_0_10_0,4.110,92.367%,5.699,89.012%,49.739,0.578%,45.370,9.499%,47.214,5.844%,6.472,89.657%,47.194,5.888%,45.370,9.499%,47.214,5.844%,5.141,90.167%
50,1_3_4_7,2_1_3_4,190_0_150_160,18.699,97.678%,25.137,95.245%,160.357,72.647%,447.656,10.510%,444.822,11.288%,19.055,96.667%,123.676,78.958%,167.352,70.903%,376.905,26.108%,20.660,96.116%
540,1_3_4_7,1_4_2_3,110_10_180_5100,6.008,99.989%,71.716,98.811%,42.527,100.000%,4832.669,10.510%,4691.408,13.199%,54.045,99.122%,93.524,98.978%,42.005,100.000%,83.193,99.811%,46.835,99.252%
6,1_3_4_7,3_2_4_1,51_0_9_0,4.541,93.011%,6.447,89.657%,58.561,2.633%,54.372,9.588%,56.460,6.155%,6.979,90.623%,56.308,6.433%,54.372,9.588%,56.460,6.155%,5.784,90.792%
7,1_3_4_7,3_2_4_1,61_0_9_0,5.088,93.289%,7.177,90.134%,67.641,3.666%,63.243,9.854%,65.633,6.488%,7.416,91.412%,65.150,7.244%,63.138,10.021%,65.633,6.488%,6.371,91.317%
70,1_3_4_7,2_1_3_4,110_0_290_300,14.415,98.800%,29.517,96.045%,93.599,91.568%,626.636,10.510%,618.611,11.854%,22.232,97.211%,100.027,89.212%,97.238,90.890%,341.912,54.661%,23.278,96.920%
720,1_3_4_7,2_1_3_4,110_0_120_6970,5.479,100.000%,81.414,98.989%,42.527,100.000%,6443.490,10.510%,6250.170,13.254%,62.511,99.233%,102.408,99.122%,42.005,100.000%,82.188,99.878%,52.238,99.375%
8,1_3_4_7,3_2_4_1,68_0_12_0,5.509,93.656%,7.874,90.534%,76.743,4.400%,72.121,10.043%,74.807,6.733%,7.775,92.101%,73.099,9.077%,71.781,10.510%,74.807,6.733%,6.964,91.696%
9,1_3_4_7,2_4_3_1,80_1_9_0,6.104,93.900%,8.612,90.790%,86.067,4.688%,81.017,10.166%,83.925,6.988%,8.185,92.567%,80.507,11.143%,80.377,10.943%,83.925,6.988%,7.540,92.009%
90,1_3_4_7,2_1_3_4,96_0_800_4,20.425,98.378%,34.331,96.423%,66.636,96.900%,805.617,10.510%,791.985,12.210%,25.073,97.545%,93.407,92.645%,67.514,96.723%,263.422,75.269%,26.601,97.266%
900,1_3_4_7,2_1_3_4,110_0_420_8470,5.479,100.000%,82.328,99.200%,42.527,100.000%,8054.311,10.510%,7805.213,13.332%,61.746,99.411%,100.007,99.345%,42.005,100.000%,78.005,99.956%,57.094,99.453%
